grant_number;in_cruz_list
2242057;FALSE
2242643;TRUE
2242654;TRUE
2242927;TRUE
2243017;TRUE
2243018;TRUE
2243020;TRUE
2243041;FALSE
2243105;TRUE
2243106;TRUE
2243107;TRUE
2243108;TRUE
2243109;TRUE
2243466;FALSE
2243733;TRUE
2243822;TRUE
2244144;TRUE
2244231;TRUE
2244380;TRUE
2244734;TRUE
2245181;TRUE
2246079;TRUE
2246607;TRUE
2247071;TRUE
2247636;TRUE
2247867;FALSE
2247868;FALSE
2247959;TRUE
2300164;TRUE
2300165;TRUE
2300166;TRUE
2300380;TRUE
2300607;FALSE
2300609;FALSE
2300927;FALSE
2301114;FALSE
2301115;TRUE
2301116;TRUE
2301247;FALSE
2301248;FALSE
2301249;FALSE
2301964;TRUE
2302773;TRUE
2303732;TRUE
2304093;TRUE
2304106;TRUE
2304691;TRUE
2304844;TRUE
2304933;FALSE
2305330;TRUE
2305370;TRUE
2305476;TRUE
2305592;TRUE
2305598;FALSE
2305599;FALSE
2305600;TRUE
2305728;FALSE
2306150;TRUE
2306176;TRUE
2306216;TRUE
2306259;FALSE
2306262;TRUE
2306263;TRUE
2306265;TRUE
2306658;TRUE
2308517;TRUE
2308531;TRUE
2308532;TRUE
2308600;TRUE
2309255;TRUE
2309307;TRUE
2309308;TRUE
2309309;FALSE
2309310;TRUE
2309311;TRUE
2310470;FALSE
2310556;TRUE
2310557;TRUE
2310558;TRUE
2310698;TRUE
2310990;TRUE
2310991;TRUE
2311210;TRUE
2313609;TRUE
2313849;TRUE
2313869;FALSE
2313936;FALSE
2313979;TRUE
2313981;FALSE
2313994;FALSE
2313996;TRUE
2314061;TRUE
2314075;TRUE
2314089;TRUE
2314092;TRUE
2314101;TRUE
2314144;FALSE
2314179;TRUE
2314229;TRUE
2314238;TRUE
2314239;TRUE
2314254;TRUE
2314260;FALSE
2314307;TRUE
2314433;TRUE
2314434;TRUE
2314435;TRUE
2314519;TRUE
2314653;TRUE
2314693;FALSE
2314850;TRUE
2314892;TRUE
2314893;TRUE
2314894;TRUE
2314915;TRUE
2314916;TRUE
2314917;TRUE
2314918;TRUE
2314980;TRUE
2315023;TRUE
2315024;TRUE
2315027;FALSE
2315029;FALSE
2315041;TRUE
2315042;FALSE
2315043;TRUE
2315095;TRUE
2315124;FALSE
2315148;TRUE
2315178;TRUE
2315277;TRUE
2315400;TRUE
2315401;TRUE
2315402;TRUE
2315456;TRUE
2315480;TRUE
2315868;TRUE
2315869;TRUE
2315875;TRUE
2315876;TRUE
2316154;TRUE
2316852;TRUE
2316853;TRUE
2317076;TRUE
2317250;TRUE
2317283;TRUE
2317284;TRUE
2317569;TRUE
2317570;TRUE
2317571;TRUE
2317572;TRUE
2317573;TRUE
2317588;TRUE
2317713;TRUE
2317714;TRUE
